sample_id,Document,Human-made Reference,MLX 4-bit
189,"Mohammed Sarul Islam believes changing the name would generate publicity and act as a memorial.
The former Cardiff councillor has put forward a petition calling on the Welsh Government to change the name.
Assembly members will consider the petition, which gathered 16 signatures, on Tuesday
A petition needs a minimum of 10 signatures to be discussed by the Assembly Petitions Committee, under current assembly rules.
Mr Sarul Islam, president of the Commonwealth Business and Investment Council for Wales, said rebranding the airport with such a well-known name would attract international customers.
It is not the first time calls have been made to rename the airport, bought by the Welsh Government for Â£52m in 2013.
Previous suggestions include rebranding it the Robert Owen International Airport of Wales - after the Welsh pioneer of the Cooperative Movement - and Dylan Thomas International Airport Cardiff.","Renaming Cardiff Airport in memory of Princess Diana would boost international recognition, a former councillor has said.","A petition calling for the Welsh Government to rename Cardiff International Airport has gathered 16 signatures, prompting consideration by Welsh Assembly members."
190,"He quit despite surviving a vote on an opposition motion to remove him.
Mr Slipper is accused of sexual harassment by a former staff member, and of sending lurid text messages, now revealed in court documents.
His resignation could harm Ms Gillard's slender majority, which relies on votes from independent MPs.
Mr Slipper defected from opposition leader Tony Abbot's Liberal Party last year, becoming an independent.
He was swiftly promoted to the non-voting role of Speaker, freeing up his predecessor - Labour member Harry Jenkins - and effectively giving Ms Gillard a two-seat majority in the House.
His resignation now means Ms Gillard is dependent on Mr Slipper as an independent to help pass legislation.
Mr Slipper appeared to fight back tears in an emotional return to the House to announce his decision to resign, saying it was made with ""great sadness"" and regret.
His resignation followed a heated debate between Ms Gillard and Mr Abbot on Tuesday, with Mr Abbot accusing Mr Slipper of not being a ""fit and proper"" person for position of Speaker.
On Monday, court documents filed as part of a sexual harassment lawsuit being brought against him gave details of lurid text messages he is alleged to have sent his accuser, who is openly gay.
Mr Slipper, who is married, earlier apologised for the content of the text messages. He also denies the charges of sexual harassment.
He had been absent from parliament since April when he voluntarily stepped aside while the case against him was investigated.","Australia's parliament Speaker Peter Slipper has resigned amid a continuing sex scandal, dealing a blow to Prime Minister Julia Gillard's government.",Australian Prime Minister Julia Gillard's minority government is facing a crisis as former Speaker Anthony Slipper resigns amid allegations of sexual harassment and inappropriate text messages.
191,"The live broadcast of John Adams's The Death of Klinghoffer was scheduled for 15 November.
The opera set to be performed this autumn portrays the hijacking of the Achille Lauro cruise ship by the Palestine Liberation Front in 1985.
Jewish American passenger Leon Klinghoffer was killed in the attack
""I'm convinced that the opera is not anti-Semitic,"" the Met's General Manager, Peter Gelb, wrote in a statement.
""But I've also become convinced that there is genuine concern in the international Jewish community that the live transmission of The Death of Klinghoffer would be inappropriate at this time of rising anti-Semitism, particularly in Europe.""
The decision was taken after discussions between Mr Gelb and the Anti-Defamation League, which represented Klinghoffer's children.
Mr Adams criticised the decision, telling Associated Press news agency the opera ""in no form condones or promotes violence, terrorism or anti-Semitism"".
The Achille Lauro had been sailing the Mediterranean on 7 October 1985 when the gang - members of a splinter group of Yasser Arafat's Palestinian Liberation Organisation - attacked.
During a two-day standoff, the group demanded the release of a number of Palestinian prisoners and killed Klinghoffer, 69, before throwing him overboard.
The Palestinian militants initially escaped after allowing the Achille Lauro to dock in Egypt.
Later, the US military intercepted an Egyptian plane which the hijackers were using to flee and forced it to land in Sicily, where the four hijackers were arrested.
Youssef Magied al-Molqui, the leader of the group which overtook the Achille Lauro, was released from an Italian prison in 2009 after serving nearly 24 years.",New York's Metropolitan Opera has cancelled plans for a global HD broadcast of a performance amid fears it could spark anti-Semitic sentiment.,"The Metropolitan Opera's decision to broadcast the opera ""The Death of Klinghoffer"" on 15 November, despite criticism from Jewish groups concerned about rising anti-Semitism, was influenced by discussions with the Anti-Defamation League."
192,"Clubs are required to provide accurate details of training sessions and player whereabouts so they are available for testing at all times.
The Cherries were deemed to have failed to ensure its information was accurate on three occasions.
Manchester City were fined £35,000 and given a warning, after admitting a similar breach earlier this month.
Bournemouth have yet to learn their punishment from the FA, but are expecting similar sanctions.
It is understood part of the charge concerns a player not informing the club of his new home address, while another part relates to members of the Under-21 squad training with the first-team at short notice.",Bournemouth have accepted a Football Association charge relating to a breach of anti-doping rules.,"Clubs must ensure accurate information about training sessions and player whereabouts to avoid penalties, with Manchester City fined £35,000 for a breach earlier this month."
193,"Chief Secretary to the Treasury Danny Alexander, former Lib Dem leader Charles Kennedy and John Thurso were beaten by the SNP.
The turnout for the constituencies involved exceeded 70%.
The SNP's Angus MacNeil held his seat in Na h-Eileanan an Iar  - which covers the Western Isles - with 54% of the votes.
Mr Kennedy, who lost Ross, Skye and Lochaber to Ian Blackford, said the 2015 election's defeat of Lib Dems and Labour in Scotland would become known as the ""night of the long sgian dubhs"".
The former Lib Dem leader said: ""I am very fond of political history and tonight, if nothing else, we can all consider and reflect in years to come, and perhaps tell our grandchildren, we were there the night of the long sgian dubhs.""
His opponent Mr Blackford said the election in Scotland had not been about last year's referendum, but about ""sending MPs from Scotland who will stand up for"" Scotland's interests.
In Inverness, Nairn, Badenoch and Strathspey, Highland Council leader Drew Hendry gained almost 29,000 votes, a rise of more than 31% on the party's 2010 result to defeat Mr Alexander.
Mr Alexander said he had polled about as many votes as he had in 2010 but they had not been enough to get him re-elected.
He said the Liberal Democrats should hold their heads high for what they achieved in government, but conceded that ""clearly we have a lot of rebuilding to do"".
Mr Alexander added: ""The flame of Highland liberalism will keep burning and our job is to burn brighter in years to come.""
Lord Thurso lost Caithness, Sutherland and Easter Ross, a seat he had held since 2001, to the SNP's Paul Monaghan who won 46% of the vote.
The SNP's Mr MacNeil said his job now was to fight for the needs of the Western Isles and help his party's desire to end austerity.",High profile Liberal Democrats have lost three strongholds in the Highlands and Islands.,"The Scottish independence referendum election saw the SNP win significant seats, with the Lib Dems and Labour losing ground, particularly in the Western Isles."
194,"Navalny had denied the charges, saying the trial was politically motivated.
The 37-year-old had been a leading campaigner against President Putin's United Russia party, and regularly blogged about corruption allegations.
The EU said the verdict posed ""serious questions"" about the state of Russian law. The US said it was ""deeply disappointed"".
Before he was handcuffed and led away, Navalny urged his supporters to continue his anti-corruption struggle, tweeting: ""Don't sit around doing nothing.""
Navalny has previously said he would like to stand for president one day.
He had recently registered his candidacy for the next mayor of Moscow, but his campaign team said that after the verdict he was withdrawing from the race, and called on his supporters to boycott the vote.
By Oleg BoldyrevBBC News, Kirov
Minutes after Judge Blinov started reading from the substantial sheaf of papers, it became evident the two defendants, Alexei Navalny and Pyotr Ofitserov, were going to be found guilty.
Seasoned observers of this trial were just about able to pick up the judge's words. Others were bewildered by the hum-like reading.
Entering the courtroom just before the verdict reading started, both defendants were far from gloomy. ""Why sad faces?"" quipped Navalny, walking past dozens of journalists and a row of cameras.
Navalny has long acquired the skill of tweeting and blogging while interminable financial documents were read by prosecution, defence and, now, judge.
Publishing his fiery comments on politics, corruption and the need to unite in opposition to Vladimir Putin's regime - that's one of the many things he won't be able to do from behind bars, waiting for the sentence to be appealed against.
'Explosion of anger'
The BBC's Moscow correspondent Daniel Sandford says that when the sentence was handed down, there were tears from Navalny's supporters and an explosion of anger on the social networking sites that he has used so effectively.
Anti-Putin activist and former cabinet minister Boris Nemtsov told reporters the trial was ""completely fabricated from start to finish, and even the judge could not say what the reason for the crime was"".
Other countries have also voiced their concern at the verdict. The US ambassador to Moscow, Michael McFaul, said: ""We are deeply disappointed in the conviction of Navalny and the apparent political motivations in this trial.""
A spokesperson for the EU's top foreign policy official, Catherine Ashton, said the embezzlement charges were unsubstantiated, and that Navalny's jailing posed ""serious questions as to the state of the rule of law in Russia"".
French foreign ministry spokesman Philippe Lalliot added his concern, but said: ""We note that not all judicial remedies have been exhausted and that the sentence could be reviewed on appeal.""
Navalny's supporters in Moscow have vowed to stage protests against the verdict later on Thursday.
'Almost inevitable'
Navalny arrived at the courtroom in Kirov to hear the verdict after a 12-hour overnight train journey from Moscow.
Our correspondent said Navalny smiled in a resigned manner when the almost inevitable guilty verdict came.
His wife, Yulia Navalnaya, said her husband knew he would get a non-suspended sentence and was mentally prepared to go to prison.
Navalny was found guilty of heading a group that embezzled timber worth 16m rubles ($500,000; Â£330,000) from the Kirovles state timber company while working as an adviser to Kirov's governor Nikita Belykh.
The prosecution had asked for a six-year jail sentence, but judge Sergei Blinov decided on five years, and said there were no extenuating circumstances that would warrant keeping Navalny out of prison.
Navalny's co-accused, Pyotr Ofitserov, was also found guilty, and given a four-year jail sentence.
""Navalny... committed a grave crime,"" said Judge Blinov as he delivered the sentence.
State television has only shown limited interest in the process despite Navalny's prominence, but online the trial has been followed extensively.
Mr Navalny came to public attention when he inspired mass protests against the Kremlin and President Vladimir Putin in December 2011.
Profile: Alexei Navalny
A thorn in Putin's side
Judge Blinov said he found the testimony of the main prosecution witness, Vyacheslav Opalev, to be ""trustworthy and consistent''.
Navalny insists that Mr Opalev spoke against him out of revenge, because Navalny had recommended he be fired and his company investigated for corruption.
After the verdict, Navalny tweeted: ""So that's it. Don't get bored without me. Most importantly, don't sit around doing nothing. The toad won't get off the oil pipe by itself.""
In his LiveJournal blog on Wednesday Navalny said: ""The current authorities are not a big, healthy fish, but rather a bloated fish or Latin American toad, which puffs itself up when it sees danger, with the help of television.""
In an unusual step, the court allowed the whole trial to be broadcast live online.
He is now one of the key figures of the opposition - a thorn in the side of the political establishment, campaigning against the endemic corruption, our correspondent says.
Mr Navalny has also coined a phrase to describe the ruling party United Russia that has stuck in everyone's minds - ""the party of crooks and thieves"".","Russian protest leader Alexei Navalny has been jailed for five years, for embezzlement from a timber firm.","is dead, the toad is dead.""
The verdict is not expected to be appealed, as Navalny's lawyers have not been able to find a lawyer to represent him in the appeal.
The trial has been described as a ""show trial"" by some, but Navalny's supporters say they are not concerned about the outcome.
""Even if he gets a sentence of 10 years, he will be able to continue his struggle,"" said one supporter.
""Even if he gets a sentence of 10 years, he will be able to continue his struggle.""
The trial has been described as a ""show trial"" by some,"
195,"Media playback is not supported on this device
The Premier League paid £174m to agents, up from £130m, with Manchester City being the biggest spenders (£26.3m) ahead of Chelsea (£25.1m) and Manchester United (£19m).
England's second tier, the Championship, spent £42.4m on agents, an increase of 62%.
The Football Association figures cover from February 2016 to January 2017.
They come two years after the last full-year results (2014-15).
Premier League teams spent a record £1.38bn on transfers in the 2016-17 season - a 43% increase on transfer spending from the 2014-15 season.
In both League One and League Two the total spending on agents and intermediaries decreased from the 2014-15 figures.
League One sides spent £3,098,508, down from £3,167,964, while League Two teams spent £821,450, down from £1,007,920.
Liverpool led the Premier League in agents' fees when the last full-year results were published for the period 1 October 2014 to 30 September 2015, but the Reds' spending has decreased from £14.3m to £13.8 for the 2016-17 period.
Manchester City now top the Premier League list with £26,3m, up from £12.4m, followed by Chelsea, who have also more than doubled their spending on agents' fees, up from £12m to £25.1m.
Manchester United (£19m) and Arsenal (£10.2m) complete the top five, while Tottenham's outlay has risen from £6m to £7.2m.
Yet despite being considered part of the Premier League's 'big six' clubs, Spurs trail behind West Ham (£9.5m) and Bournemouth (£7.4m) in agents' fees paid for 2016-17.
Former England, West Ham and QPR winger Trevor Sinclair
I was very fortunate. I met a good agent quite early on in my career after some bad experiences. He took care of negotiations, which is standard, made sure I was pitching myself at the right amount of money to be earning weekly, monthly, annually.
On top of that he helped me with financial advice, he helped me with marketing, exit strategies when I finished football, and also just day-to-day things. He was always preaching to do your best and try to look after yourself.
The influence that agents have got now in the game is unbelievable. You look at some of the biggest clubs in the UK and Europe, and there are certain super agents who, for me, have too much power.
In relation to deals, I think the money should be capped in some way. If you're doing a deal for a player moving for £1m, why would there be another £1m going missing to agents' fees? It's unacceptable, for me, that kind of money going out of the game, when that could be easily used for grassroots football.
Jonathan Barnett of the Stellar Group
Agents have a bad reputation because nobody really understands what an agent does and that includes, probably, the FA. It's not deserved. More MPs have committed illegal acts than agents. I think it's unjust, a very unjust one.
People get confused when they hear of an agent. They think it's somebody that does transfers, runs around from one club to another trying to sell players. They are more traders and brokers. There are very few of those agents and very few that really matter.
However, what we are as an agency and what other reputable companies are, are people who look after players. We don't look after clubs. We don't look after anybody else, we look after the player. And by that, we make sure their life is properly run, any problems are taken care of and their life is made very easy so that all they can do is concentrate on playing football.
We get paid for what we're worth. If we do a good job for our player then we get paid. If we do a bad job, we don't. There are plenty of agents who don't earn a living. You've got to be good at what you do and then you get paid rightly.
Stoke City chairman Peter Coates
Football clubs, especially top clubs, are getting more and more income, so what happens? Players get bigger and bigger wages, and agents therefore get bigger and bigger fees. It's a product of the marketplace we're in, so I'm not surprised.
I wish it were less, but we're in a marketplace that is highly competitive. We've never been able to get any traction and get an agreement to say we'll all dock pay more than X, whether it's 5%, 10% or whatever the figure could be. There seems a reluctance to go down that route. There's no other way we could perhaps rein in what agents get.
There are good agents, less good agents and they can earn huge amounts of money. That sometimes can attract the wrong sort of person because the prize is so high. It's one of those facts of life. We wish it was different, but we seem incapable of controlling it. All clubs do their best, obviously we don't want to pay any more than we have to. But it's a tough market. They play the field, which they're entitled to, and it's not easy.",The amount paid by English clubs to agents has risen by 38% in a year - up from £160m to £220m.,"vicious circle. It's not fair to the clubs, it's not fair to the players, it's not fair to the agent, it's not fair to the grassroots.
The agent's fees are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable. They are not justifiable."
196,"The boy had lived with the twin in his stomach his whole life, but went to hospital after complaining of pain.
His mother told Bernama the foetus ""was formed with organs like those of a baby"".
It is believed to be the first reported case of the condition, known medically as ""fetus in fetu"", in Malaysia.
The boy's mother, 38, said funeral rites had been performed on the foetus and it was buried at a local cemetery.
Reports said the foetus had legs, hands and genitals.
""Only the nose and mouth were not complete,"" she said, saying she had accepted his fate.
The teenager had been admitted to a local district hospital before being referred to the Sultan Abdul Hamid Hospital in Kedah for the operation to remove the twin.
The hospital and Malaysia's government health officials would not comment on the case to the BBC.
What is fetus in fetu?
Dr S Raman, obstetrics and gynaecology specialist at Pantai Hospital in the capital, Kuala Lumpur, told the BBC it is when an ""additional twin gets absorbed into the body of the living twin"".
""It's almost like a vanishing twin, or sometimes called a parasitic twin,"" he said.
""I have actually seen a case of the foetus being attached to the outside of the living twin, so it's possible for the twin to be both inside or outside the body.""
There have also been cases of two twins found inside the abdomen of one child, in the case of a triplet pregnancy.
What causes it?
There is no known trigger, but it occurs in the early stages of development when one foetus wraps around the other.
The enveloped twin then does not fully form but becomes a ""parasite"", relying on their host twin for their survival. Such twins usually die before birth.
The abnormality is estimated to occur in 1 in 500,000 live births.
Is it unusual to live so long with the twin?
One widely reported case was of a 36-year-old man in India whose tumour had grown so big that he was having difficulty breathing.
In villages or smaller towns where access to medical facilities are limited, it is possible for someone to not know they have a foetus and live with it their entire life, says Dr Raman.
The abnormality is easily spotted if a baby undergoes an ultrasound or CT scan, and there have been cases of babies as young as three months old being operated on.","A 15-year-old Malaysian boy has had the parasitic foetus of his twin removed from his stomach, Malaysia's Bernama state news agency reports.","A Malaysian teenager has been living with a parasitic twin in his stomach for his entire life, leading to hospital admission and removal surgery."
197,"He is the latest casualty of the Trump White House, and takes the record for the shortest term in a top job: he was fired 10 days after being announced as communications director.
But of course, there is a long line of people behind him who have been fired or eased out of their jobs by President Trump.
Here's a run-down of what they did, and why they left, starting with ""The Mooch"".
The brash, Wall Street big wig has known President Trump for years, and charismatically defended him in TV interviews.
Although he didn't last long in the job, he made big headlines.
He appeared to accuse Chief of Staff Reince Priebus of being responsible for White House leaks in a tweet (later deleted) that also appeared to threaten him.
Mr Scaramucci then attacked Mr Priebus and President Trump's senior adviser Steve Bannon in an expletive-filled rant on the phone with a reporter from the New Yorker magazine.
Why was he sacked?
Although he had boasted of reporting directly to the president, Mr Scaramucci's ill-discipline may have cost him any post alongside President Trump's new chief of staff - retired, four-star General John Kelly.
Mr Scaramucci's departure was announced hours after Mr Kelly was sworn-in to replace Mr Priebus.
The White House said Mr Trump believed comments Mr Scaramucci had made were ""inappropriate"".
Time in post?
Ten days. (Though his official start date was 15 August - so possibly minus-15 days.)
The former Republican National Committee chairman was one of few Washington veterans given a top role in the Trump White House but was unable to assert his authority.
He grappled with competing powers in an administration where Mr Trump's daughter Ivanka, and son-in-law, Jared Kushner, play key roles.
Mr Scaramucci was hired despite Mr Priebus's disagreement and insulted him seemingly without reproach from the president.
Why was he sacked?
President Trump lost confidence in him and clearly wanted a shake-up in the White House, opting for a general to replace the Republican Party operative, who was seen as weak.
The announcement also came as the Republicans failed in their efforts to repeal Obamacare in the Senate.
Time in post?
Six months.
Mr Spicer famously kicked off his tenure as White House press secretary by defending a seemingly indefensible claim about the crowd size at President Trump's inauguration.
Over the course of his time behind the podium, he became - unusually for a press secretary - a household name, and was parodied on Saturday Night Live.
Why did he leave?
Unlike most others on this list, Mr Spicer appears to have left on seemingly good terms with the president.
He stepped down after Mr Scaramucci was appointed to a role he had partially filled, saying he did not want there to be ""too many cooks in the kitchen"".
Sarah Huckabee Sanders had also taken over many of Mr Spicer's press briefings.
The New York Times reported that Mr Spicer had ""vehemently"" disagreed with the appointment of Mr Scaramucci, which he believed to be a ""major mistake"".
Time in post?
Six months.
Mr Comey played a dramatic and controversial part in the closing stages of the election when he announced, a week before the vote, that the FBI had reopened an investigation into Hillary Clinton's private email server.
He was criticised first by Democrats for the timing and alleged indiscretion of the announcement, then by Republicans when he said a week later that no charges would be brought. But Mr Trump praised the FBI director heavily, saying it ""took a lot of guts"" to make his announcement and that he had ""brought back his reputation"". He blew Mr Comey a kiss at the White House.
The president grew less appreciative of him as the FBI director led an investigation into alleged ties between the Trump campaign and Russia.
Why was he sacked?
The Trump administration first claimed Mr Comey's handling of the Clinton email investigation rendered him no longer able to credibly lead the bureau and that Mr Trump had acted on the deputy attorney general's recommendation.
However Mr Trump soon contradicted this, calling him a ""showboat"" in a TV interview and saying he was thinking if the ""Russia thing"" when he made the decision to sack him.
Later it emerged that he allegedly told Russian officials that the dismissal had taken ""great pressure"" off him.
Special counsel Robert Mueller is reported to be investigating whether obstruction of justice occurred.
Time in post?
Three years, eight months. Less than four months under Mr Trump.
Technically, Michael Flynn resigned, but he was asked to do so by the president. His departure followed weeks of deepening scandal in which it emerged that he had misled White House officials, including the vice-president, over his contact with Russian ambassador Sergei Kislyak.
Mr Flynn is said to have discussed US sanctions against Russia with Mr Kislyak before Mr Trump took office.
Mr Trump was briefed on the possibility that Mr Flynn was open to blackmail, because Moscow knew he was lying, but 18 days elapsed before the president sacked him, raising questions about exactly what the president knew and when.
Why was he sacked?
It is illegal for private citizens to conduct US diplomacy, and once it was established that Mr Flynn had lied about his contact with Mr Kislyak there was no question that he had to go. The question with this sacking was, why did it take so long?
White House press secretary Sean Spicer said that the president needed the time to investigate Mr Flynn and establish his guilt, but the scandal prompted fierce speculation over what the president knew of Mr Flynn's contacts with Mr Kislyak.
Time in post?
23 days.
The president fired Sally Yates after she questioned the legality of Mr Trump's travel ban on seven Muslim-majority countries. Ms Yates, who was appointed by Barack Obama, believed it discriminated unconstitutionally against Muslims, and ordered justice department lawyers not to enforce the president's executive order.
Within hours, she was fired.
Why was she sacked?
A White House statement said Ms Yates had ""betrayed the Department of Justice by refusing to enforce a legal order designed to protect the citizens of the United States"". It also described her as ""weak on borders and very weak on illegal immigration"".
But it was also Ms Yates who informed White House counsel that Michael Flynn had misled the vice-president about his contacts with Ambassador Kislyak and presented a risk of Russian blackmail as a result.
The president's sacking of an Obama-era holdover who had openly defied him was certainly less controversial than the Comey dismissal, but it drew heavy criticism from Democrats, who said Ms Yates had done her job in standing up to the travel ban.
Time in post?
10 days.
It is not uncommon for prosecutors appointed by the previous administration to be replaced as the White House changes hands, but the widely-respected Preet Bharara had been told specifically by the Trump administration that he would be kept on.
Mr Bharara had built a reputation as the ""Sheriff of Wall Street"" after a number of aggressive prosecutions of traders.
At the time of his sacking, he was overseeing several high-profile cases, including an investigation into New York City Mayor Bill de Blasio's campaign finances and allegations of sexual harassment at Trump favourite Fox News.
Why was he sacked?
Mr Bharara was one of 46 prosecutors asked to resign by the Trump administration, which contended that it was part of a simple changing of the guard.
But there was speculation among Democrats and others that Mr Bahara's jurisdiction, which included Trump Tower, may have concerned the president. A few days before he was sacked, three ethics groups called on Mr Bharara in an open letter to investigate whether Trump companies in his jurisdiction had received foreign payments.
Meanwhile, a ProPublica investigation revealed that Mr Bharara was overseeing an investigation into stock trades by Mr Trump's incoming health secretary Tom Price.
Three Democratic senators wrote to attorney general Jeff Sessions asking him to investigate the Bharara sacking.
Time in post?
Seven years, seven months. Less than two under Mr Trump.
Paul Manafort, a long-time Republican political operative, was supposed to marshal some of the chaos around Mr Trump but ended up falling prey to it. He was sacked after five months with Mr Trump's campaign, three of those as campaign chair.
Why was he sacked?
The Trump campaign didn't give a reason for Mr Manafort's departure, issuing only a boilerplate statement wishing him well. But a wave of reports in the week before the announcement alleged that Mr Manafort had received secret cash payments from a pro-Russian political party for representing Russian interests in Ukraine and the US.
While Mr Manafort was running the campaign, the Republican Party changed the language in its manifesto regarding the conflict in Ukraine, removing anti-Russian sentiment, allegedly at the behest of two Trump campaign representatives.
Time in post?
Three months.",Anthony Scaramucci is out.,"Mr Flynn's contact with Mr Kislyak by the FBI, but Mr Flynn denied the allegations.
Why was he sacked?
Mr Trump's administration initially claimed Mr Flynn's contact with Mr Kislyak was not a problem, but later reversed this position, saying Mr Flynn's actions were ""unlawful"".
Mr Trump's administration also claimed Mr Flynn's contact with Mr Kislyak was not a problem, but later reversed this position, saying Mr Flynn's actions were ""unlawful"".
Mr Trump's administration also claimed Mr Flynn's contact with Mr Kislyak was not a problem, but later reversed this position, saying Mr Flynn"
198,"The man, who was in his 60s, died at Silverthorn Avenue in the town and police were informed of his death just after 12:00 GMT on Tuesday.
Officers investigating the circumstances of his death arrested a 25-year-old man in Coleraine just after 17:30 GMT.
There are no further details at present.","Police are treating the death of a man in Coleraine, County Londonderry, as suspicious and have made an arrest.","A 60-year-old man died in Coleraine, Northern Ireland, while a 25-year-old man was arrested on suspicion of his death."
199,"Adrian Fatchett, 52, was injured at a house in Highfield Avenue, Athersley South, said South Yorkshire Police.
Mr Fatchett died on Saturday night despite being treated at the scene by paramedics, officers said.
A 17-year-old boy arrested on suspicion of murder has been bailed and investigations continue, said police.",A man who died after he suffered a serious head injury at a party in Barnsley has been named.,"A 17-year-old boy arrested on suspicion of murder was treated at the scene by paramedics but later died after being injured at a house in Highfield Avenue, Athersley South, according to South Yorkshire Police."
200,"Mike Welch, chief executive of Blackcircles.com, can expect to gain a third of that sale price, while staying with the company.
He started selling tyres aged 16 before joining Kwik-Fit.
Aged 21, he set up Black Circles, basing it in Peebles, where it employs 50 people.
Welch, now aged 36, built it up to annual sales in 2013 of £28m, with annual growth of around 20% per year since 2008.  The first three months of this year have seen revenue rise by 34% on the same period last year.
The company developed a ""click and fit"" business model. Customers choose their tyres online, they are then delivered directly from manufacturers to one of 1,350 independent garages, where the customer then books in a tyre-fitting session.
According to the chief executive, prices undercut conventional sales by 20%-to-40%.
In March, the company announced that it was looking at ways to extend its growth, including a float on a stock exchange, private equity investment, or a sale.
It recruited former Tesco boss Sir Terry Leahy onto the board, to use his expertise in retail. There is also a trial of a Blackcircles fitting service at some Tesco superstores.
The Michelin deal opens up expertise and a much wider distribution network, without limiting Blackcircles.com to the parent company's brand products.
Michelin already owns the conventional tyre distributor ATS Euromaster, and the French firm hopes there will be synergies between the two distributors, although Blackcircles.com will continue to operate independently within the Michelin group.
""I'm delighted to have found in Michelin a partner who shares our passion for customer service, innovation and technology,"" said Mr Welch. ""The strength of the Michelin Group will allow us to underpin the multi-brand offering that we deploy in each garage, on every street corner.
""I am convinced that our teams, our customers, our garages and our suppliers will rapidly start to see the benefits of this partnership.""
Jean-Dominique Senard, chief executive of the Michelin Group, commented: ""Our strategy illustrates our ambition: to be ever more innovative, efficient and proactive for our customers by offering them products and services suited to individual needs, and by simplifying the entire purchase process, from choosing their tyres to having them fitted by professionals.""
Michelin has 68 production plants in 17 countries, and employs 117,000 people.
An interview with Mike Welch can be heard on Business Scotland this weekend - at 06:00 on Saturday and 07:30 on Sunday - on BBC Radio Scotland.",One of Scotland's most successful entrepreneurs has sold his tyre-fitting business for £50m to Michelin.,"Blackcircles.com, a tyre-fitting service, has grown from a garage in Peebles to a £28m business with annual growth of 20% since 2008, partnering with Michelin to expand its distribution network."
201,"Last month he became the first player to speak publicly about being sexually abused as a boy at Crewe in the 1980s.
There are now 155 suspects in the UK-wide football child abuse scandal.
Woodward said he gave police further information five weeks ago, but has ""still not provided statements despite my continual requests to do so"".
On Twitter he wrote: ""People should know I suffered more than one abuser.
""I've now been waiting five weeks to provide my statement with the police, for further abuse on me.
""I've not mentioned it before now but it hurts. I need to let go of that pain, yet still waiting.""
He later told BBC Sport that police had now said they would visit him next week - but called the delay ""shocking"".
Police say there are now 429 potential victims linked to football, some as young as four at the time of the alleged offence, and 148 clubs are now involved.
Woodward, who is also a former police officer, has launched an independent trust to help other abuse victims ""fight for justice"".
The National Police Chiefs' Council (NPCC) set up Operation Hydrant to oversee investigations of ""non-recent"" child sex abuse within institutions or by people of public prominence.
The spotlight has fallen on abuse in football since a a number of former footballers came forward publicly to tell their stories, and the number of suspects has almost doubled in a fortnight.
In a statement on Wednesday, Chief Constable Simon Bailey, the NPCC lead on child abuse, said allegations received by police across the country ""were being swiftly acted upon"", but acknowledged that a ""higher than usual"" volume of calls was causing delays.
The latest figures from the NPCC, released on Wednesday, show there have been 819 referrals from police forces and a special helpline set up for victims of abuse in football.
Chief Constable Bailey, said: ""The numbers keep growing. We are dealing with some of the most complex investigations you can imagine.
""We are dealing with incredibly sensitive matters, sometimes in very high profile cases and of course all those factors create a huge challenge for the service.""
The official overall Operation Hydrant statistics show there were 3,469 suspects of historical child abuse under investigation as of December 2016. This compares with 1,433 in May 2015.
Among the overall statistics for child sex abuse there are 366 people of public prominence - including 162 from TV, film or radio - under investigation.
There were 3,531 people classed as victims, of which 2,604 (74%) were male and 899 (25%) were female. A further 28 victims were of unknown sex.
In November 2016 there were 26 sports institutions under investigation. That figure has since increased to 74.
Mr Bailey urged victims of child sexual abuse to report it by dialling 101 or contacting the dedicated NSPCC helpline for those abused in football, ""regardless of how long ago the abuse may have taken place"".","Ex-footballer Andy Woodward says it is ""shocking"" he is still waiting to give police information about the alleged sexual abuse he suffered as a junior.","Former police officer Nick Woodward, now 56, has been the subject of a UK-wide child abuse scandal involving 155 suspects, with police investigating 429 potential victims in football clubs."
202,"Friends, collaborators and fans have been paying tribute on their social media accounts.","James Horner, the Hollywood composer who wrote the Oscar-winning score for Titanic, has died in a California plane crash aged 61.",People have been showing support on social media.
